100
10
65
285
46	3
32	2
7	2
25	5
12	4
47	5
39	3
18	2
43	2
63	4
9	2
7	2
10	3
13	2
12	2
22	4
57	3
48	4
59	5
35	5
35	2
20	2
2	2
58	4
65	5
10	3
10	3
1	2
7	3
47	3
12	2
55	5
12	3
28	4
46	2
5	3
50	2
20	2
12	4
9	2
16	3
59	3
1	3
38	3
2	4
52	4
44	5
32	5
10	3
18	3
4	2
23	5
19	2
34	4
22	3
53	3
3	3
25	5
16	2
7	3
33	3
60	5
19	2
42	3
40	5
58	2
38	3
5	3
4	5
48	2
49	2
32	5
57	3
50	2
16	3
38	4
37	2
33	2
8	2
23	2
36	2
19	2
38	2
56	3
61	2
13	2
42	3
65	2
46	3
64	2
1	3
6	4
41	3
58	2
56	5
30	2
52	2
59	3
27	2
17	4
17	2
59	2
52	4
42	3
61	3
41	3
51	2
55	2
26	5
39	3
48	2
54	2
29	3
27	5
65	3
1	3
12	2
39	4
47	2
42	2
50	5
23	4
46	5
30	2
3	4
47	2
61	2
2	3
58	2
37	3
6	2
13	4
29	4
8	2
21	2
32	5
15	2
51	3
6	5
33	2
48	2
4	2
23	3
3	2
13	4
52	2
29	2
39	2
51	4
65	3
53	2
1	2
50	5
53	5
33	3
11	3
11	3
11	2
29	3
16	4
28	2
42	4
59	3
61	3
27	2
65	2
40	2
45	2
62	2
2	5
35	5
6	3
65	3
44	2
11	2
9	2
43	5
15	4
40	2
63	2
61	3
22	2
39	3
23	4
62	2
48	3
51	2
36	5
60	2
50	4
41	5
47	5
4	3
40	5
59	2
24	3
14	4
36	2
39	3
61	2
25	3
64	3
63	3
31	2
15	3
18	2
33	2
4	2
46	4
23	5
42	4
46	3
57	3
49	2
33	2
52	2
47	5
46	2
45	2
63	2
57	3
44	2
54	4
17	5
65	3
49	2
10	2
54	5
19	2
53	2
13	4
52	3
54	2
31	2
21	3
33	2
10	5
34	3
29	3
52	5
37	4
9	2
42	2
16	2
14	4
57	2
21	3
13	2
29	3
28	3
5	5
16	3
46	5
48	3
1	2
24	3
60	3
42	2
9	5
54	4
51	2
61	2
59	3
29	4
26	5
22	2
47	2
65	2
23	4
27	2
60	5
35	2
1	2
44	3
41	2
18	2
48	2
51	3
37	4
18	2
9	5
35	2
4	3
12	2
47	2
