10
100
4
135
4	10	
3	3	
2	5	
2	4	
4	5	
3	6	
3	9	
1	6	
3	3	
3	8	
4	7	
3	3	
4	8	
4	8	
1	2	
2	3	
2	3	
4	6	
3	8	
4	9	
1	6	
4	9	
2	9	
2	8	
1	5	
1	10	
2	10	
4	5	
2	8	
4	10	
3	7	
1	3	
1	2	
2	4	
1	10	
1	10	
2	3	
3	4	
2	9	
2	9	
2	3	
3	2	
2	9	
3	8	
4	5	
2	4	
2	5	
4	3	
2	6	
4	9	
4	8	
1	10	
1	9	
1	8	
2	10	
1	6	
1	3	
2	7	
3	7	
3	3	
2	8	
1	6	
1	10	
2	3	
3	7	
1	10	
1	6	
2	4	
3	4	
4	5	
1	4	
1	5	
2	3	
3	10	
4	9	
3	2	
4	2	
3	6	
3	9	
2	4	
1	2	
4	9	
2	4	
1	5	
4	2	
3	4	
1	7	
2	9	
1	6	
4	5	
4	6	
2	10	
1	9	
4	10	
4	4	
4	2	
4	2	
3	6	
4	2	
1	9	
2	8	
1	9	
2	9	
3	10	
4	6	
1	2	
3	9	
3	7	
1	8	
3	7	
2	9	
1	5	
1	6	
2	5	
3	8	
2	3	
2	5	
1	9	
3	2	
3	8	
1	7	
4	3	
1	9	
4	9	
2	6	
1	8	
4	6	
2	6	
1	2	
4	10	
4	4	
2	10	
4	8	
2	10	
3	5	
