10
100
6
139
3	10	
1	9	
4	10	
4	4	
6	7	
3	8	
5	3	
4	8	
3	5	
2	8	
1	4	
3	2	
1	7	
1	9	
3	6	
3	7	
4	5	
1	9	
2	5	
2	7	
1	6	
3	9	
2	4	
4	9	
6	4	
3	3	
5	5	
2	6	
5	5	
6	3	
1	2	
6	5	
6	3	
4	3	
3	3	
4	8	
4	4	
1	10	
6	4	
5	7	
1	10	
2	5	
3	7	
4	7	
5	6	
6	6	
5	9	
5	9	
4	3	
2	3	
4	7	
6	2	
2	8	
6	10	
4	5	
4	2	
2	10	
1	4	
3	3	
4	8	
2	10	
1	3	
3	10	
2	7	
4	5	
2	4	
6	5	
1	8	
4	2	
4	9	
3	5	
4	8	
5	3	
6	9	
5	2	
2	6	
6	4	
5	10	
2	10	
1	9	
4	10	
1	3	
3	3	
2	6	
5	8	
3	7	
4	10	
2	6	
4	5	
3	4	
2	9	
5	5	
3	3	
3	7	
4	3	
2	5	
3	6	
5	9	
2	3	
3	5	
4	5	
6	4	
6	8	
3	9	
6	6	
1	6	
3	5	
4	6	
6	4	
6	6	
4	5	
3	4	
5	8	
5	9	
3	7	
6	10	
1	7	
3	9	
4	4	
3	4	
6	9	
6	3	
2	8	
1	6	
1	2	
5	10	
2	5	
6	5	
4	3	
1	6	
2	8	
6	3	
5	5	
4	10	
6	10	
3	8	
1	4	
6	6	
5	7	
