59
150
3
120
3	75	
3	59	
3	66	
1	80	
2	43	
2	30	
3	21	
1	41	
2	60	
2	53	
2	41	
3	74	
1	35	
1	41	
2	90	
3	99	
3	30	
3	86	
1	28	
2	82	
2	37	
2	40	
3	30	
3	85	
3	61	
3	20	
2	22	
3	52	
2	27	
2	32	
3	56	
2	77	
2	69	
2	58	
2	58	
3	43	
1	47	
3	45	
1	56	
3	58	
1	47	
3	94	
1	63	
1	82	
1	51	
3	99	
1	41	
3	68	
1	69	
3	98	
1	77	
1	33	
3	35	
3	92	
1	84	
3	84	
3	38	
3	91	
2	55	
1	98	
3	82	
3	23	
2	23	
3	27	
3	28	
3	30	
2	77	
2	23	
1	33	
3	95	
1	59	
2	42	
1	88	
2	89	
1	20	
3	43	
3	98	
1	20	
2	32	
3	24	
3	64	
3	40	
3	74	
3	47	
3	53	
2	100	
3	52	
2	100	
1	70	
1	77	
3	25	
1	68	
2	61	
3	55	
1	91	
3	29	
3	89	
3	90	
1	73	
1	82	
2	91	
3	49	
2	38	
2	93	
2	68	
1	90	
3	68	
1	26	
3	56	
2	97	
1	35	
2	32	
1	71	
1	83	
3	71	
1	80	
1	60	
3	34	
1	89	
1	83	
